weblink,websites,machine,links,systems,settings,opt-out,anonymous,targeted,request,consent,breach,computer,profile,browsers,electronic,check,trackers,laws,visited,yahoo,third-party,individuals,tools,products,platform,web,safari,visiting,profiles,traffic,phorm's,unique,internet,intercept,investigatory,user,broadband,logged,default,doubleclick,requests,sending,regulations,collect,campaigns,monitoring,isps,browsing,collection,cookies,ad,computers,trial,firefox,digital,sell,user's,company's,software,advertisers,code,advertising,intrusive,database,phorm,trials,technologies,identifiable,sites,talktalk,opt,collected,cookie,allows,update,webwise,store,browser,revenues,delete,adverts,link,tracking,illegal,clicked,tool,obtained,targeting,owned,types,rely,specific,identify,behaviour,log,secret,id,download,protection,abuse,networks,amazon,users,ip,analytics,chrome,adware,mobile,behavioural,users',visits,isp,search,content,location,potentially,records,privacy,devices,click,blog,technical,ads,interception,files,snooping,google's,preferences,tracks,apple's,personally,block,opt-in,google,pages,activity,regulation,provider,tracked,remove,visitors,install,comply,classLabel
commentisfree/2016/nov/28/technology-our-lives-control-us-internet-giants-data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,3,0,1,0,0,3,3,0,0,0,1,1,1,0,0,9,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1
technology/askjack/2016/nov/24/how-can-i-protect-myself-from-government-snoopers,3,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,6,0,0,0,5,0,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,7,1,0,0,0,1,7,5,0,2,1,0,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,4,0,0,1,0,1
politics/blog/live/2016/nov/21/theresa-may-cbi-speech-signals-plan-to-put-workers-on-company-boards-being-watered-down-politics-live,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,34,0,1,0,0,1,0,0,0,0,0,1,1
us-news/live/2016/nov/02/trump-clinton-news-live-election-2016,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,1,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,4,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
media-network/2016/nov/02/new-social-brands-embracing-messaging-services,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,4,0,0,0,0,1,0,0,0,0,5,4,2,1,0,3,4,0,0,0,3,0,0,0,0,1,0,0,1,0,0,5,1,1,0,0,0,0,0,0,0,1
us-news/live/2016/nov/01/donald-trump-russia-hillary-clinton-emails-campaign-live,0,2,5,1,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,7,0,0,0,2,0,3,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,5,0,0,2,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1
technology/2016/oct/21/how-to-disable-google-ad-tracking-gmail-youtube-browser-history,3,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,5,0,0,1,0,0,0,4,0,0,2,0,1,0,9,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,2,0,1,1,3,0,0,0,0,2,0,2,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,17,1,0,1,0,0,0,0,0,0,2,0,1,0,1,14,1,0,0,0,3,0,0,0,0,1,5,0,5,0,0,27,0,4,0,0,1,0,1,0,0,1
us-news/live/2016/oct/18/donald-trump-campaign-election-news-hillary-clinton-live,0,0,1,0,0,0,0,0,1,2,0,0,3,1,0,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
australia-news/live/2016/oct/12/bill-shorten-says-tony-abbott-is-winning-marriage-debate-as-bill-goes-back-to-parliament-politics-live,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,2,2,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
technology/2016/oct/11/jacob-appelbaum-tor-project-sexual-assault-allegations,0,0,0,0,0,0,1,3,0,1,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1
